,file,sent_i,sent,ne_info,amr_graph,amr_head_name,amr_tail_name,amr_role,umr_head_name,umr_tail_name,umr_role,amr_head_id,umr_head_id,amr_tail_id,umr_tail_id,y_guess,y_guess_dist,y_pred
0,1,1,"If it rains , Alana won't water the plants .",[{'PER': 'Alan'}],DiGraph with 6 nodes and 5 edges,water-01,rain-01,:condition,water-01,rain-01,:condition,s2w_0,s2w_0,s2r_5,s2r_6,[':condition'],[1.0],:condition
6,2,9,"""I have ordered the Coast Guard and our entire naval force in the (central Philippines) region to the area,"" she said.","[{'ORG': 'Coast Guard'}, {'LOC': 'Philippines'}, {'PER': 'I'}, {'PER': 'she'}]",DiGraph with 20 nodes and 19 edges,force-04,navy,:mod,force,navy,:mod,f_10,s10f_12,n2_12,s10n2_16,"[':mod', ':other-role']","[0.995, 0.005]",:mod
23,2,25,"Relief groups called for drinking water, food, blankets and body bags to be brought to the scene.",[],DiGraph with 12 nodes and 11 edges,bag,body,:mod,bag,body,:mod,b3_9,s26b3_12,b4_10,s26b4_13,"[':mod', ':other-role']","[0.995, 0.005]",:mod
36,4,1,Pope is the American businessman who was convicted last week on spying charges and sentenced to 20 years in a Russian prison.,"[{'PER': 'Pope'}, {'MISC': 'American'}, {'MISC': 'Russian'}, {'B_human': 'businessman'}]",DiGraph with 26 nodes and 25 edges,businessman,country,:mod,businessman,country,:mod,b2_0,s2b_4,c5_1,s2c4_5,"[':mod', ':other-role']","[0.995, 0.005]",:mod
43,5,5,you can't see him yet .,"[{'PER': 'you'}, {'PER': 'him'}]",DiGraph with 5 nodes and 4 edges,see-01,yet,:mod,see-01,yet,:mod,s6s_0,s6s_0,s6y2_4,s6y_7,"[':mod', ':other-role']","[0.995, 0.005]",:mod
48,5,15,and he dumps all his pears into the basket,[{'PER': 'he'}],DiGraph with 7 nodes and 6 edges,dump-01,basket,:destination,dump-01,basket,:goal,s16d_1,s16d_0,s16b_6,s16b_7,[':goal'],[1.0],:goal
49,5,23,"A--nd u--m then he climbs back up the ladder ,",[{'PER': 'he'}],DiGraph with 7 nodes and 6 edges,climb-01,back,:mod,climb-01,back,:other-role,s24c_1,s24c_0,s24b_6,s24b_8,"[':mod', ':other-role']","[0.995, 0.005]",:mod
62,5,119,one of them has a . . what do you call those little [l.l?] um paddleball?,"[{'PER': 'them'}, {'PER': 'you'}]",DiGraph with 12 nodes and 11 edges,thing,little,:mod,thing,little,:mod,s120t_8,s120t_19,s120l_10,s120l_22,"[':mod', ':other-role']","[0.995, 0.005]",:mod
68,6,5,It lies in the valley of a minor right tributary of the Pesnica River.,"[{'LOC': 'P'}, {'LOC': 'esnica River'}]",DiGraph with 11 nodes and 10 edges,valley,tributary,:mod,valley,tributary,:mod,v_2,v_2,t_3,t_3,"[':mod', ':other-role']","[0.995, 0.005]",:mod
69,6,5,It lies in the valley of a minor right tributary of the Pesnica River.,"[{'LOC': 'P'}, {'LOC': 'esnica River'}]",DiGraph with 11 nodes and 10 edges,tributary,river,:mod,tributary,river,:mod,t_3,t_3,r2_6,r2_6,"[':mod', ':other-role']","[0.995, 0.005]",:mod
