ID,dataset,split-role,split-choice,animacy of term,sentence,AMR,UMR,notes,Animacy Recognition,Named Entity
dest1,umr-guidelines,:destination,:recipient,,He showed the sea to the girl .,"# ::snt He showed the sea to the girl .
# ::alignments 0-1|0.0 1-2|0 3-4|0.1 6-7|0.2 
(s / show-01
    :ARG0 (h / he)
    :ARG1 (s2 / sea)
    :ARG2 (g / girl))","hogco                 kibba-l         raɬad                 b-ega-l-lo  
he.OBL(ERG)         girl.OBL-LAT         sea(iii)         iii-see-CAUS-PST 
# ::snt He showed the sea to the girl.’
(b/ begallo-00 ‘show’
        :actor (p/ person
                :ref-person 3rd
                :ref-number Singular)
        :theme (r/ raɬad ‘sea’)
        :recipient (k/ kibba ‘girl’
                :ref-number Singular)
        :aspect Performance
        :modstr FullAff)",,,"[{'B_human': 'girl'}, {'PER': 'He'}],"
dest2,amr-release-3.0-amrs-guidelines.txt,:destination,:goal,,It 's extremely troublesome to get there via land .,"# ::id bc.cctv_0000.167 ::date 2012-12-05T12:59:46 ::annotator ISI-AMR-01 ::preferred
# ::snt It 's extremely troublesome to get there via land .
# ::save-date Fri Nov 10, 2017 ::file bc_cctv_0000_167.txt
(t / trouble-05
      :ARG2 (g / get-05
            :destination (t2 / there)
            :path (l / land))
      :degree (e / extreme))","# ::snt It 's extremely troublesome to get there via land .
(s2t / trouble-05
  :ARG2 (s2g / get-05
          :goal (s2t2 / there)
          :path (s2l / land))
  :degree (s2e / extreme)
  :aspect State
  :modstr FullAff)",,,"[],"
dest3,amr-release-3.0-amrs-guidelines.txt,:destination,:goal,,She heated the oven to 250 degrees Celsius.,"# ::id isi_0002.33 ::date 2012-06-02T15:47:01 ::annotator ISI-AMR-01 ::preferred
# ::snt She heated the oven to 250 degrees Celsius.
# ::save-date Sat Jun 2, 2012 ::file isi_0002_33.txt
(h / heat-01
      :ARG0 (s / she)
      :ARG1 (o / oven)
      :destination (t / temperature-quantity :quant 250
            :scale (c / celsius)))","# ::snt She heated the oven to 250 degrees Celsius.
(s3h / heat-up-02
  :undergoer (s3o / oven
          :goal (s3t / temperature-quantity
                  :quant (s3x / 250)
                  :scale (s3c / celsius)))
  :actor (s3s / she
           :refer-person 3rd
           :refer-number Singular))",,,"[{'MISC': 'Celsius'}, {'PER': 'She'}],"
dest4,amr-release-3.0-amrs-guidelines.txt,:destination,:goal,,"He drove west, from Houston to Austin .","# ::id isi_0002.47 ::date 2012-06-02T19:54:06 ::annotator ISI-AMR-01 ::preferred
# ::snt He drove west, from Houston to Austin .
# ::save-date Sat Jun 2, 2012 ::file isi_0002_47.txt
(d / drive-01
      :ARG0 (h / he)
      :direction (w / west)
      :source (c / city :wiki ""Houston""
            :name (n / name :op1 ""Houston""))
      :destination (c2 / city :wiki ""Austin,_Texas""
            :name (n2 / name :op1 ""Austin"")))","# He drove west, from Houston to Austin .
(s4d / drive-01
  :actor (s4h / he
          :refer-person 3rd
          :refer-number Singular)
  :direction (s4w / west)
  :start (s4c / city :name (s4n / name :op1 ""Houston""))
  :goal (s4c2 / city :name (s4n2 / name :op1 ""Austin"")))",,,"[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}],"
dest5,amr-release-3.0-amrs-guidelines.txt,:destination,:goal,,I drove to the store.,"# ::id isi_0002.119 ::date 2012-12-05T11:02:36 ::annotator ISI-AMR-01 ::preferred
# ::snt I drove to the store.
# ::save-date Wed Dec 5, 2012 ::file isi_0002_119.txt
(d / drive-01
      :ARG0 (i / i)
      :destination (s / store))","# I drove to the store.

(s5d / drive-01
  :actor (s5p / person
           :refer-person 1st
           :refer-number Singular)
  :goal (s5s / store)
  :Aspect Performance
  :MODSTR FullAff)",,,"[{'PER': 'I'}],"
dest6,amr-release-3.0-amrs-guidelines.txt,:destination,:goal,,I walked up to the window.,"# ::id isi_0002.130 ::date 2012-12-05T11:37:12 ::annotator ISI-AMR-01 ::preferred
# ::snt I walked up to the window.
# ::save-date Wed Dec 5, 2012 ::file isi_0002_130.txt
(w / walk-01
      :ARG0 (i / i)
      :destination (w2 / window))","# I walked up to the window.

(s6w / walk-01
  :actor (s6p / person
           :refer-person 1st
           :refer-number Singular)
  :goal (s6w2 / window)
  :Aspect Performance
  :MODSTR FullAff)",,,"[{'PER': 'I'}],"
dest7,amr-release-3.0-amrs-guidelines.txt,:destination,:goal,,The MiG-25 fired an AAM at the Predator.,"# ::id isi_0002.701 ::date 2015-10-23T19:23:54 ::annotator ISI-AMR-01 ::preferred
# ::snt The MiG-25 fired an AAM at the Predator.
# ::save-date Wed Jan 17, 2018 ::file isi_0002_701.txt
(f / fire-01
      :ARG0 (a / aircraft-type :wiki ""Mikoyan-Gurevich_MiG-25"" :name (n / name :op1 ""MiG-25""))
      :ARG1 (m / missile
            :source (a2 / air)
            :direction (a3 / air))
      :destination (a4 / aircraft-type :wiki ""General_Atomics_MQ-1_Predator"" :name (n2 / name :op1 ""Predator"")))","# ::snt The MiG-25 fired an AAM at the Predator.
(s7f / fire-01
  :instrument (s7a / aircraft-type
                :name (s7n / name
                        :op1 ""MiG-25""))
  :theme (s7m / missile
           :source (s7a3 / air)
           :direction (s7a2 / air))
  :goal (s7a4 / aircraft-type
          :name (s7n2 / name
                  :op1 ""Predator"")))",,,"[{'MISC': 'MiG-25'}, {'MISC': 'AA'}, {'MISC': 'Predator'}],"
dest8,amr-release-3.0-amrs-guidelines.txt,:destination,:goal,,"For their honeymoon, the couple flew first class to Hawaii.","# ::id isi_0002.654 ::date 2015-07-28T15:07:57 ::annotator ISI-AMR-01 ::preferred
# ::snt For their honeymoon, the couple flew first class to Hawaii.
# ::save-date Tue Jul 28, 2015 ::file isi_0002_654.txt
(f / fly-01
      :ARG1 (c / couple)
      :destination (s / state :wiki ""Hawaii"" :name (n / name :op1 ""Hawaii""))
      :manner (c2 / class
            :ord (o / ordinal-entity :value 1))
      :subevent-of (h / honeymoon-01
            :ARG0 c))","(s8f / fly-01
  :theme (s8c / couple)
  :goal (s8s / state
          :name (s8n / name
                  :op1 ""Hawaii""))
  :manner (s8c2 / class)
  :ord (s8o / ordinal-entity
         :value (s8x / 1))
  :value (s8h / have-subevent-91
           :value (s8h2 / honeymoon-01
                    :ARG0 (s8c))))",,,"[{'LOC': 'Hawaii'}, {'B_human': 'couple'}],"
dest9,umr-guidelines,:destination,:recipient,,I showed the pictures to her.,"# ::snt I showed the pictures to her .
# ::alignments 0-1|0.0 1-2|0 3-4|0.1 
(s / show-01
    :ARG0 (i / i)
    :ARG1 (p / picture
        :destination (h / her))","I showed the pictures to her.
(s/ show-01  
	:actor (p/ person
		:ref-person 1st
		:ref-number Singular)  
	:theme (p2/ picture
		:ref-number Plural)
	:recipient (p3/ person
		:ref-person 3rd
		:ref-number Singular)
	:aspect Performance
	:modstr FullAff) ",,,"[{'PER': 'I'}, {'PER': 'her'}],"
dest10,umr-guidelines,:destination,:recipient,,He gave the cat some wet food .,"# ::snt He gave the cat some wet food .
# ::alignments 0-1|0.0 1-2|0 3-4|0.1 4-5|0.1.0.1 5-6|0.1.0.0 6-7|0.1.0 
(g / give-01
    :ARG0 (h / he)
    :destination (c / cat
        :location (f / food
            :mod (w / wet-01)
            :mod (s / some))))","He gave the cat some wet food.
(g/ give-01  
        :actor (p/ person
                :ref-person 3rd
                :ref-number Singular)  
        :theme (f/ food
                :mod (w/ wet)
                :quant (s/ some))  
        :recipient (c/ cat
                :ref-number Singular)
        :aspect Performance
        :modstr FullAff)",,,"[{'B_animal': 'cat'}, {'PER': 'He'}],"
