,file,sent_i,sent,ne_info,amr_graph,amr_head_name,amr_tail_name,amr_role,umr_head_name,umr_tail_name,umr_role,amr_head_id,umr_head_id,amr_tail_id,umr_tail_id
0,1,0,"If that is the case, after the child is born, the father will go to the mother's home, and present the family matriarch with gifts, asking to be accepted as the father.","[{'B_human': 'child'}, {'B_human': 'father'}, {'B_human': 'mat'}, {'B_human': 'father'}]",DiGraph with 26 nodes and 25 edges,and,that,:condition,,,,,,,
1,1,1,It 's extremely troublesome to get there via land .,[],DiGraph with 5 nodes and 4 edges,get-05,there,:destination,,,,,,,
2,1,2,This dynamic metropolis never ceases its movement .,[],DiGraph with 7 nodes and 6 edges,metropolis,dynamic,:mod,,,,,,,
3,1,2,This dynamic metropolis never ceases its movement .,[],DiGraph with 7 nodes and 6 edges,metropolis,this,:mod,,,,,,,
4,1,18,British investor,"[{'MISC': 'British'}, {'B_human': 'investor'}]",DiGraph with 6 nodes and 5 edges,person,country,:mod,,,,,,,
5,1,25,"According to government sources, the killing happened yesterday.",[],DiGraph with 6 nodes and 5 edges,source,government-organization,:mod,,,,,,,
6,1,44,A large number of people gathered.,[],DiGraph with 4 nodes and 3 edges,number,large,:mod,,,,,,,
7,1,46,20 Canadian dollars,[{'MISC': 'Canadian'}],DiGraph with 6 nodes and 5 edges,dollar,country,:mod,,,,,,,
8,1,58,10% of smokers die of lung cancer.,[{'B_human': 'smoke'}],DiGraph with 13 nodes and 12 edges,die-01,cause-01,:ARG1-of,,,,,,,
9,1,66,I saw a cloud of dust .,[{'PER': 'I'}],DiGraph with 4 nodes and 3 edges,cloud,dust,:consist-of,,,,,,,
10,1,67,A team of researchers made a discovery .,[{'B_human': 'researchers'}],DiGraph with 4 nodes and 3 edges,team,person,:consist-of,,,,,,,
11,1,72,She heated the oven to 250 degrees Celsius.,"[{'MISC': 'Celsius'}, {'PER': 'She'}]",DiGraph with 6 nodes and 5 edges,heat-01,temperature-quantity,:destination,,,,,,,
12,1,75,The old man died of lung cancer .,[{'B_human': 'man'}],DiGraph with 9 nodes and 8 edges,die-01,cause-01,:ARG1-of,,,,,,,
13,1,75,The old man died of lung cancer .,[{'B_human': 'man'}],DiGraph with 9 nodes and 8 edges,man,old,:mod,,,,,,,
14,1,78,"Darrell Phillips, vice president of human resources for Hollingworth & Vose","[{'PER': 'Darrell Phillips'}, {'ORG': 'Hollingworth & Vose'}, {'B_human': 'president'}]",DiGraph with 15 nodes and 14 edges,president,vice,:mod,,,,,,,
15,1,78,"Darrell Phillips, vice president of human resources for Hollingworth & Vose","[{'PER': 'Darrell Phillips'}, {'ORG': 'Hollingworth & Vose'}, {'B_human': 'president'}]",DiGraph with 15 nodes and 14 edges,resource,human,:mod,,,,,,,
16,1,83,The mayor arrived with a police escort .,[{'B_human': 'mayor'}],DiGraph with 6 nodes and 5 edges,escort,police,:mod,,,,,,,
17,1,84,I ate pasta with tomato sauce .,[{'PER': 'I'}],DiGraph with 5 nodes and 4 edges,sauce,tomato,:mod,,,,,,,
18,1,86,"He drove west, from Houston to Austin .","[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}]",DiGraph with 11 nodes and 10 edges,drive-01,city,:source,,,,,,,
19,1,86,"He drove west, from Houston to Austin .","[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}]",DiGraph with 11 nodes and 10 edges,drive-01,city,:destination,,,,,,,
20,1,87,The boy met a girl from Spain .,"[{'LOC': 'Spain'}, {'B_human': 'boy'}, {'B_human': 'girl'}]",DiGraph with 7 nodes and 6 edges,girl,country,:source,,,,,,,
21,1,95,"In the 1974 soccer World Cup final, Germany beat the Netherlands 2-1.","[{'MISC': 'World Cup'}, {'LOC': 'Germany'}, {'LOC': 'Netherlands'}]",DiGraph with 21 nodes and 20 edges,game,soccer,:mod,,,,,,,
22,1,108,A special gubernatorial election will take place next Tuesday .,[],DiGraph with 7 nodes and 6 edges,date-entity,next,:mod,,,,,,,
23,1,109,microbial virus,[],DiGraph with 2 nodes and 1 edges,virus,microbe,:mod,,,,,,,
24,1,111,Which team won ?,[],DiGraph with 3 nodes and 2 edges,amr-unknown,team,:mod,,,,,,,
25,1,112,this Wednesday afternoon,[],DiGraph with 4 nodes and 3 edges,date-entity,this,:mod,,,,,,,
26,1,114,a ring of gold,[],DiGraph with 2 nodes and 1 edges,ring,gold,:consist-of,,,,,,,
27,1,115,CEO of IBM,"[{'ORG': 'IBM'}, {'B_human': 'CEO'}]",DiGraph with 9 nodes and 8 edges,officer,chief,:mod,,,,,,,
