,umr_role
0,:goal
1,
2,:start
3,:start
4,:goal
5,:goal
6,:instrument
7,:source
8,:goal
9,:reason
10,:mod
11,:Cause-of
12,:cause
13,:cause
14,:reason
15,:cause
16,:cause
17,:Cause-of
18,:reason
19,:reason
20,:material
21,:material
22,:group
23,
24,:Material-of
25,:mod
26,:material
27,:mod
28,:group
29,
30,:mod
31,
32,:material
33,
34,:source
35,:source
36,:start
37,:mod
38,:undergoer
39,
40,:mod
41,:mod
42,:source
43,:mod
44,:mod
45,:source
46,:start
47,:mod
48,:mod
49,
