,file,sent_i,sent,ne_info,amr_prints,amr_graph,amr_head_name,amr_tail_name,amr_role,umr_head_name,umr_tail_name,umr_role,amr_head_id,umr_head_id,amr_tail_id,umr_tail_id,animacy,y_guess,y_guess_dist,y_pred
0,AMR to UMR targerted conversion split roles - Graphs.csv,1,It 's extremely troublesome to get there via land .,[],"


(t / trouble-05
      :ARG2 (g / get-05
            :destination (t2 / there)
            :path (l / land))
      :degree (e / extreme))",DiGraph with 5 nodes and 5 edges,get-05,there,:destination,get-05,there,:goal,g_4,s2g_3,t2_5,s2t2_4,inanimate,[':goal'],[1.0],"[':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal']"
1,AMR to UMR targerted conversion split roles - Graphs.csv,3,"He drove west, from Houston to Austin .","[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}]","


(d / drive-01
      :ARG0 (h / he)
      :direction (w / west)
      :source (c / city :wiki ""Houston""
            :name (n / name :op1 ""Houston""))
      :destination (c2 / city :wiki ""Austin,_Texas""
            :name (n2 / name :op1 ""Austin"")))",DiGraph with 11 nodes and 11 edges,drive-01,city,:source,drive-01,city,:start,d_3,s4d_1,c_6,s4c_6,inanimate,"[':material', ':source', ':start']","[0.1, 0.6, 0.3]","[':material', ':start', ':start', ':start', ':source', ':start', ':source', ':start', ':source', ':source', ':source', ':source', ':source', ':source', ':source', ':start', ':source', ':source', ':source', ':material']"
2,AMR to UMR targerted conversion split roles - Graphs.csv,3,"He drove west, from Houston to Austin .","[{'LOC': 'Houston'}, {'LOC': 'Austin'}, {'PER': 'He'}]","


(d / drive-01
      :ARG0 (h / he)
      :direction (w / west)
      :source (c / city :wiki ""Houston""
            :name (n / name :op1 ""Houston""))
      :destination (c2 / city :wiki ""Austin,_Texas""
            :name (n2 / name :op1 ""Austin"")))",DiGraph with 11 nodes and 11 edges,drive-01,city,:destination,drive-01,city,:start,d_3,s4d_1,c2_10,s4c_6,inanimate,[':goal'],[1.0],"[':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal']"
3,AMR to UMR targerted conversion split roles - Graphs.csv,4,I drove to the store.,[{'PER': 'I'}],"


(d / drive-01
      :ARG0 (i / i)
      :destination (s / store))",DiGraph with 3 nodes and 3 edges,drive-01,store,:destination,drive-01,store,:goal,d_3,s5d_2,s_5,s5s_6,inanimate,[':goal'],[1.0],"[':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal']"
4,AMR to UMR targerted conversion split roles - Graphs.csv,5,I walked up to the window.,[{'PER': 'I'}],"


(w / walk-01
      :ARG0 (i / i)
      :destination (w2 / window))",DiGraph with 3 nodes and 3 edges,walk-01,window,:destination,walk-01,window,:goal,w_3,s6w_2,w2_5,s6w2_6,inanimate,[':goal'],[1.0],"[':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal']"
5,AMR to UMR targerted conversion split roles - Graphs.csv,6,The MiG-25 fired an AAM at the Predator.,"[{'MISC': 'MiG-25'}, {'MISC': 'AA'}, {'MISC': 'Predator'}]","


(f / fire-01
      :ARG0 (a / aircraft-type :wiki ""Mikoyan-Gurevich_MiG-25"" :name (n / name :op1 ""MiG-25""))
      :ARG1 (m / missile
            :source (a2 / air)
            :direction (a3 / air))
      :destination (a4 / aircraft-type :wiki ""General_Atomics_MQ-1_Predator"" :name (n2 / name :op1 ""Predator"")))",DiGraph with 12 nodes and 12 edges,missile,air,:source,missile,air,:source,m_8,s7m_6,a2_9,s7a3_7,inanimate,"[':material', ':source', ':start']","[0.1, 0.6, 0.3]","[':source', ':source', ':source', ':source', ':source', ':source', ':material', ':source', ':source', ':source', ':source', ':source', ':source', ':source', ':source', ':source', ':start', ':source', ':source', ':source']"
6,AMR to UMR targerted conversion split roles - Graphs.csv,7,"For their honeymoon, the couple flew first class to Hawaii.","[{'LOC': 'Hawaii'}, {'B_human': 'couple'}]","


(f / fly-01
      :ARG1 (c / couple)
      :destination (s / state :wiki ""Hawaii"" :name (n / name :op1 ""Hawaii""))
      :manner (c2 / class
            :ord (o / ordinal-entity :value 1))
      :subevent-of (h / honeymoon-01
            :ARG0 c))",DiGraph with 11 nodes and 11 edges,fly-01,state,:destination,fly-01,state,:goal,f_3,s8f_0,s_5,s8s_2,inanimate,[':goal'],[1.0],"[':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal', ':goal']"
7,AMR to UMR targerted conversion split roles - Graphs.csv,10,"The boy murmured softly to soothe the girl, because he worried about her.","[{'B_human': 'boy'}, {'B_human': 'girl'}, {'PER': 'he'}, {'PER': 'her'}]","
(m / murmur-01
  :ARG0 (b / boy)
  :manner (s / soft-02)
  :purpose (s2 / soothe-01
               :ARG1 (g / girl))
  :cause (w / worry-01
            :ARG0 boy
            :topic girl))",DiGraph with 8 nodes and 8 edges,murmur-01,worry-01,:cause,murmur-01,worry-01,:reason,m_1,s11m_1,w_6,s11w_6,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause']"
8,AMR to UMR targerted conversion split roles - Graphs.csv,11,The old man died of lung cancer .,[{'B_human': 'man'}],"


(d / die-01
      :ARG1 (m / man
            :mod (o / old))
      :ARG1-of (c / cause-01
            :ARG0 (d2 / disease :wiki ""Lung_cancer""
                  :name (n / name :op1 ""lung"" :op2 ""cancer""))))",DiGraph with 9 nodes and 9 edges,die-01,cause-01,:ARG1-of,die-01,disease,:Cause-of,d_3,s12d2_5,c_6,s12d_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause']"
9,AMR to UMR targerted conversion split roles - Graphs.csv,11,The old man died of lung cancer .,[{'B_human': 'man'}],"


(d / die-01
      :ARG1 (m / man
            :mod (o / old))
      :ARG1-of (c / cause-01
            :ARG0 (d2 / disease :wiki ""Lung_cancer""
                  :name (n / name :op1 ""lung"" :op2 ""cancer""))))",DiGraph with 9 nodes and 9 edges,die-01,cause-01,:ARG1-of,die-01,disease,:Cause-of,d_3,s12d2_5,c_6,s12d_2,inanimate,"[':cause', ':reason']","[0.9, 0.1]","[':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause', ':reason', ':cause', ':reason', ':cause', ':reason', ':cause', ':cause', ':cause', ':cause', ':cause', ':cause']"
