,file,sent_i,sent,ne_info,amr_graph,amr_head_name,amr_tail_name,amr_role,umr_head_name,umr_tail_name,umr_role,amr_head_id,umr_head_id,amr_tail_id,umr_tail_id,y_guess,y_guess_dist,y_pred
0,1,0,Jupiter issued a proclamation to all the beasts of the forest and promised a royal reward to the one whose offspring should be deemed the handsomest.,"[{'PER': 'Jupiter'}, {'B_animal': 'beasts'}, {'B_human': 'offspring'}]",DiGraph with 22 nodes and 21 edges,beast,all,:mod,beast,all,:mod,b_8,b_8,a2_9,a2_9,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
1,1,0,Jupiter issued a proclamation to all the beasts of the forest and promised a royal reward to the one whose offspring should be deemed the handsomest.,"[{'PER': 'Jupiter'}, {'B_animal': 'beasts'}, {'B_human': 'offspring'}]",DiGraph with 22 nodes and 21 edges,reward-01,royal,:mod,reward-01,royal,:mod,r_13,r_13,r2_21,r2_21,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
2,1,1,"The Monkey came with the rest and presented, with all a mother's tenderness, a flat-nosed, hairless, ill-featured young Monkey as a candidate for the promised reward.","[{'MISC': 'Monkey'}, {'PER': 'Monkey'}, {'B_animal': 'Monkey'}, {'B_human': 'mother'}, {'B_animal': 'Monkey'}, {'B_human': 'candidate'}]",DiGraph with 21 nodes and 20 edges,tender,all,:mod,tender,all,:mod,t_18,t_18,a3_20,a3_20,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
3,1,3,"She resolutely said, ""I know not whether Jupiter will allot the prize to my son, but this I do know, that he is at least in the eyes of me his mother, the dearest, handsomest, and most beautiful of all.""","[{'PER': 'Jupiter'}, {'B_human': 'son'}, {'B_human': 'mother'}, {'PER': 'She'}, {'PER': 'I'}, {'PER': 'I'}, {'PER': 'he'}, {'PER': 'me'}]",DiGraph with 35 nodes and 34 edges,say-01,resolute,:mod,say-01,resolute,:mod,s_0,s_0,r_34,r_34,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
4,1,3,"She resolutely said, ""I know not whether Jupiter will allot the prize to my son, but this I do know, that he is at least in the eyes of me his mother, the dearest, handsomest, and most beautiful of all.""","[{'PER': 'Jupiter'}, {'B_human': 'son'}, {'B_human': 'mother'}, {'PER': 'She'}, {'PER': 'I'}, {'PER': 'I'}, {'PER': 'he'}, {'PER': 'me'}]",DiGraph with 35 nodes and 34 edges,opine-01,at-least,:mod,opine-01,at-least,:mod,o_31,o_31,a2_33,a2_33,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
5,1,4,"An eagle, flying down from his perch on a lofty rock, seized upon a lamb and carried him aloft in his talons.","[{'B_animal': 'eagle'}, {'B_animal': 'la'}, {'PER': 'him'}]",DiGraph with 16 nodes and 15 edges,fly-01,perch,:source,fly-01,perch,:source,f_3,f_3,p_5,p_5,"[':material', ':source', ':start']","[0.1, 0.6, 0.3]","[':source', ':material', ':source', ':source', ':source']"
6,1,4,"An eagle, flying down from his perch on a lofty rock, seized upon a lamb and carried him aloft in his talons.","[{'B_animal': 'eagle'}, {'B_animal': 'la'}, {'PER': 'him'}]",DiGraph with 16 nodes and 15 edges,rock,lofty,:mod,rock,lofty,:mod,r_6,r_6,l2_7,l2_7,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
7,1,4,"An eagle, flying down from his perch on a lofty rock, seized upon a lamb and carried him aloft in his talons.","[{'B_animal': 'eagle'}, {'B_animal': 'la'}, {'PER': 'him'}]",DiGraph with 16 nodes and 15 edges,carry-01,aloft,:mod,carry-01,aloft,:mod,c_10,c_10,a2_15,a2_15,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
8,1,6,"He flew around with a great whir of his wings and settled upon a large ram, with the intention of carrying him off, but his claws became entangled in the ram's fleece and he was not able to release himself, although he fluttered with his feathers as much as he could.","[{'B_animal': 'ram'}, {'B_animal': 'ram'}, {'PER': 'He'}, {'PER': 'him'}, {'PER': 'he'}, {'PER': 'he'}, {'PER': 'he'}]",DiGraph with 40 nodes and 39 edges,ram,large,:mod,ram,large,:mod,r_11,r_11,l_12,l_12,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
9,1,6,"He flew around with a great whir of his wings and settled upon a large ram, with the intention of carrying him off, but his claws became entangled in the ram's fleece and he was not able to release himself, although he fluttered with his feathers as much as he could.","[{'B_animal': 'ram'}, {'B_animal': 'ram'}, {'PER': 'He'}, {'PER': 'him'}, {'PER': 'he'}, {'PER': 'he'}, {'PER': 'he'}]",DiGraph with 40 nodes and 39 edges,carry-01,off,:mod,carry-01,off,:mod,c_15,c_15,o_18,o_18,"[':mod', ':other-role']","[0.995, 0.005]","[':mod', ':mod', ':mod', ':mod', ':mod']"
